district,agro_climatic_zone,soil_type,season,crop,area_hectares,nitrogen_kgha,phosphorus_kgha,potassium_kgha,soil_ph,organic_carbon_pct,rainfall_mm,temperature_celsius,irrigation_type,yield_qha
Koraput,Eastern Ghat High Land,Red Laterite,Kharif,Maize,2.18,97.3,21.8,32.6,5.18,0.41,1303.5,23.7,Borewell,8.2
Sambalpur,Western Central Table Land,Black Soil,Kharif,Maize,1.66,62.1,42.1,24.8,6.58,0.26,1412.8,26.9,Canal,4.22
Cuttack,East & South Eastern Coastal Plain,Alluvial,Rabi,Mustard,1.51,102.1,1.6,46.8,6.72,0.47,115.1,22.6,Borewell,2.5
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Maize,3.92,104.6,22.6,20.1,6.09,0.37,1543.3,26.8,Rainfed,10.95
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Ragi (Mandia),2.21,86.1,31.5,26.3,5.81,0.59,1290.3,24.9,Rainfed,6.49
Mayurbhanj,North Central Plateau,Sandy Loam,Rabi,Mustard,0.56,41.5,25.7,35.0,6.16,0.69,218.5,22.7,Borewell,4.85
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Paddy (Kharif),0.48,88.2,51.5,56.0,6.02,0.6,1364.7,27.0,Borewell,18.87
Koraput,Eastern Ghat High Land,Sandy Loam,Kharif,Ragi (Mandia),1.26,69.2,57.0,49.3,5.13,0.61,1564.7,21.3,Rainfed,13.18
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Groundnut,1.15,17.1,60.1,46.2,5.91,0.43,1212.7,25.5,Borewell,8.83
Balasore,North Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),0.61,96.6,24.6,35.1,6.17,0.47,1513.4,28.2,Borewell,11.31
Cuttack,East & South Eastern Coastal Plain,Alluvial,Kharif,Paddy (Kharif),1.6,84.3,37.0,38.7,7.46,0.62,1701.4,28.6,Borewell,19.89
Mayurbhanj,North Central Plateau,Red Laterite,Kharif,Paddy (Kharif),0.8,80.3,50.3,74.0,6.23,0.49,1517.8,24.9,Rainfed,21.07
Ganjam,South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),2.32,54.1,29.0,15.2,6.27,0.41,138.6,25.7,Rainfed,4.87
Sundargarh,North Western Plateau,Sandy Loam,Rabi,Mustard,2.15,46.8,18.1,42.2,5.65,0.57,188.3,25.2,Rainfed,3.55
Puri,East & South Eastern Coastal Plain,Alluvial,Rabi,Green Gram (Moong),1.86,0.0,54.7,39.9,6.85,0.58,101.5,25.7,Borewell,2.5
Mayurbhanj,North Central Plateau,Sandy Loam,Kharif,Maize,0.85,69.9,39.2,53.2,5.5,0.57,1447.3,26.5,Rainfed,16.94
Bargarh,Western Central Table Land,Black Soil,Kharif,Paddy (Kharif),0.77,100.6,41.9,55.7,7.14,0.39,1277.7,29.6,Canal,20.4
Balasore,North Eastern Coastal Plain,Sandy Loam,Kharif,Paddy (Kharif),2.51,64.8,64.5,32.2,5.93,0.31,1293.2,27.7,Borewell,22.86
Ganjam,South Eastern Coastal Plain,Red Laterite,Rabi,Green Gram (Moong),1.87,104.8,48.0,37.0,6.79,0.63,173.9,25.0,Rainfed,5.14
Sambalpur,Western Central Table Land,Red Laterite,Kharif,Maize,0.51,90.9,58.3,10.1,6.18,0.48,1435.2,29.8,Rainfed,7.6
Puri,East & South Eastern Coastal Plain,Alluvial,Rabi,Paddy (Rabi),0.89,99.3,72.3,43.5,7.25,0.53,266.9,23.1,Borewell,19.36
Kalahandi,Western Undulating Zone,Black Soil,Kharif,Ragi (Mandia),1.21,32.7,51.9,7.2,6.29,0.89,1159.5,28.5,Borewell,3.73
Bargarh,Western Central Table Land,Black Soil,Rabi,Paddy (Rabi),1.04,113.1,50.0,61.3,7.18,0.49,218.4,27.8,Canal,26.7
